tri,taille,cas,plage,temps
bulle_basique_v2,9000,aleatoire,petite,0.188148
bulle_optimise,9000,aleatoire,petite,0.186778
cocktail,9000,aleatoire,petite,0.134571
selection,9000,aleatoire,petite,0.083178
insertion,9000,aleatoire,petite,0.041839
comptage,9000,aleatoire,petite,0.000057
fusion,9000,aleatoire,petite,0.001594
rapide,9000,aleatoire,petite,0.007327
bulle_basique,9000,croissant,petite,0.164888
bulle_basique_v2,9000,croissant,petite,0.082468
bulle_optimise,9000,croissant,petite,0.000018
cocktail,9000,croissant,petite,0.000037
selection,9000,croissant,petite,0.082666
insertion,9000,croissant,petite,0.000032
comptage,9000,croissant,petite,0.000105
fusion,9000,croissant,petite,0.001078
rapide,9000,croissant,petite,0.000380
bulle_basique,9000,decroissant,petite,0.228261
bulle_basique_v2,9000,decroissant,petite,0.153065
bulle_optimise,9000,decroissant,petite,0.153068
cocktail,9000,decroissant,petite,0.145982
selection,9000,decroissant,petite,0.093010
insertion,9000,decroissant,petite,0.088857
comptage,9000,decroissant,petite,0.000102
fusion,9000,decroissant,petite,0.001148
rapide,9000,decroissant,petite,0.000498
bulle_basique,9000,constant,petite,0.164804
bulle_basique_v2,9000,constant,petite,0.082470
bulle_optimise,9000,constant,petite,0.000018
cocktail,9000,constant,petite,0.000038
selection,9000,constant,petite,0.082674
insertion,9000,constant,petite,0.000032
comptage,9000,constant,petite,0.000065
fusion,9000,constant,petite,0.001172
rapide,9000,constant,petite,0.139391
bulle_basique,9000,aleatoire,grande,0.270199
bulle_basique_v2,9000,aleatoire,grande,0.186794
bulle_optimise,9000,aleatoire,grande,0.186691
cocktail,9000,aleatoire,grande,0.133595
selection,9000,aleatoire,grande,0.083855
insertion,9000,aleatoire,grande,0.044393
comptage,9000,aleatoire,grande,0.003174
fusion,9000,aleatoire,grande,0.001941
rapide,9000,aleatoire,grande,0.001179
bulle_basique,9000,croissant,grande,0.164803
bulle_basique_v2,9000,croissant,grande,0.082492
bulle_optimise,9000,croissant,grande,0.000018
cocktail,9000,croissant,grande,0.000036
selection,9000,croissant,grande,0.082646
insertion,9000,croissant,grande,0.000032
comptage,9000,croissant,grande,0.000102
fusion,9000,croissant,grande,0.001112
rapide,9000,croissant,grande,0.000382
bulle_basique,9000,decroissant,grande,0.228365
bulle_basique_v2,9000,decroissant,grande,0.153081
bulle_optimise,9000,decroissant,grande,0.153036
cocktail,9000,decroissant,grande,0.145971
selection,9000,decroissant,grande,0.093007
insertion,9000,decroissant,grande,0.088658
comptage,9000,decroissant,grande,0.000100
fusion,9000,decroissant,grande,0.001128
rapide,9000,decroissant,grande,0.000494
bulle_basique,9000,constant,grande,0.164794
bulle_basique_v2,9000,constant,grande,0.082487
bulle_optimise,9000,constant,grande,0.000020
cocktail,9000,constant,grande,0.000037
selection,9000,constant,grande,0.082655
insertion,9000,constant,grande,0.000032
comptage,9000,constant,grande,0.000294
fusion,9000,constant,grande,0.001160
rapide,9000,constant,grande,0.139403
bulle_basique,11000,aleatoire,petite,0.418395
bulle_basique_v2,11000,aleatoire,petite,0.295643
bulle_optimise,11000,aleatoire,petite,0.294891
cocktail,11000,aleatoire,petite,0.210307
selection,11000,aleatoire,petite,0.123883
insertion,11000,aleatoire,petite,0.062917
comptage,11000,aleatoire,petite,0.000077
fusion,11000,aleatoire,petite,0.002095
rapide,11000,aleatoire,petite,0.010847
bulle_basique,11000,croissant,petite,0.246182
bulle_basique_v2,11000,croissant,petite,0.123190
bulle_optimise,11000,croissant,petite,0.000024
cocktail,11000,croissant,petite,0.000045
selection,11000,croissant,petite,0.123393
insertion,11000,croissant,petite,0.000039
comptage,11000,croissant,petite,0.000128
fusion,11000,croissant,petite,0.001448
rapide,11000,croissant,petite,0.000491
bulle_basique,11000,decroissant,petite,0.340979
bulle_basique_v2,11000,decroissant,petite,0.228672
bulle_optimise,11000,decroissant,petite,0.228633
cocktail,11000,decroissant,petite,0.218043
selection,11000,decroissant,petite,0.138820
insertion,11000,decroissant,petite,0.132642
comptage,11000,decroissant,petite,0.000113
fusion,11000,decroissant,petite,0.001392
rapide,11000,decroissant,petite,0.000612
bulle_basique,11000,constant,petite,0.246177
bulle_basique_v2,11000,constant,petite,0.123182
bulle_optimise,11000,constant,petite,0.000023
cocktail,11000,constant,petite,0.000045
selection,11000,constant,petite,0.123419
insertion,11000,constant,petite,0.000039
comptage,11000,constant,petite,0.000080
fusion,11000,constant,petite,0.001399
rapide,11000,constant,petite,0.208044
bulle_basique,11000,aleatoire,grande,0.417119
bulle_basique_v2,11000,aleatoire,grande,0.295486
bulle_optimise,11000,aleatoire,grande,0.292234
cocktail,11000,aleatoire,grande,0.209885
selection,11000,aleatoire,grande,0.124894
insertion,11000,aleatoire,grande,0.066671
comptage,11000,aleatoire,grande,0.003484
fusion,11000,aleatoire,grande,0.002502
rapide,11000,aleatoire,grande,0.001436
bulle_basique,11000,croissant,grande,0.246253
bulle_basique_v2,11000,croissant,grande,0.123192
bulle_optimise,11000,croissant,grande,0.000022
cocktail,11000,croissant,grande,0.000045
selection,11000,croissant,grande,0.123422
insertion,11000,croissant,grande,0.000040
comptage,11000,croissant,grande,0.000129
fusion,11000,croissant,grande,0.001368
rapide,11000,croissant,grande,0.000493
bulle_basique,11000,decroissant,grande,0.340961
bulle_basique_v2,11000,decroissant,grande,0.228671
bulle_optimise,11000,decroissant,grande,0.228664
cocktail,11000,decroissant,grande,0.218022
selection,11000,decroissant,grande,0.138880
insertion,11000,decroissant,grande,0.132847
comptage,11000,decroissant,grande,0.000113
fusion,11000,decroissant,grande,0.001370
rapide,11000,decroissant,grande,0.000617
bulle_basique,11000,constant,grande,0.246232
bulle_basique_v2,11000,constant,grande,0.123190
bulle_optimise,11000,constant,grande,0.000022
cocktail,11000,constant,grande,0.000045
selection,11000,constant,grande,0.123405
insertion,11000,constant,grande,0.000039
comptage,11000,constant,grande,0.001282
fusion,11000,constant,grande,0.001373
rapide,11000,constant,grande,0.208053
bulle_basique,13000,aleatoire,petite,0.602335
bulle_basique_v2,13000,aleatoire,petite,0.433799
bulle_optimise,13000,aleatoire,petite,0.430996
cocktail,13000,aleatoire,petite,0.302282
selection,13000,aleatoire,petite,0.172838
insertion,13000,aleatoire,petite,0.088155
comptage,13000,aleatoire,petite,0.000080
fusion,13000,aleatoire,petite,0.002317
rapide,13000,aleatoire,petite,0.014937
bulle_basique,13000,croissant,petite,0.343823
bulle_basique_v2,13000,croissant,petite,0.172030
bulle_optimise,13000,croissant,petite,0.000027
cocktail,13000,croissant,petite,0.000055
selection,13000,croissant,petite,0.172287
insertion,13000,croissant,petite,0.000046
comptage,13000,croissant,petite,0.000137
fusion,13000,croissant,petite,0.001612
rapide,13000,croissant,petite,0.000576
bulle_basique,13000,decroissant,petite,0.476203
bulle_basique_v2,13000,decroissant,petite,0.319357
bulle_optimise,13000,decroissant,petite,0.319350
cocktail,13000,decroissant,petite,0.304574
selection,13000,decroissant,petite,0.193857
insertion,13000,decroissant,petite,0.185435
comptage,13000,decroissant,petite,0.000134
fusion,13000,decroissant,petite,0.001624
rapide,13000,decroissant,petite,0.000730
bulle_basique,13000,constant,petite,0.343831
bulle_basique_v2,13000,constant,petite,0.172021
bulle_optimise,13000,constant,petite,0.000027
cocktail,13000,constant,petite,0.000053
selection,13000,constant,petite,0.172267
insertion,13000,constant,petite,0.000047
comptage,13000,constant,petite,0.000091
fusion,13000,constant,petite,0.001695
rapide,13000,constant,petite,0.290326
bulle_basique,13000,aleatoire,grande,0.600059
bulle_basique_v2,13000,aleatoire,grande,0.430555
bulle_optimise,13000,aleatoire,grande,0.428354
cocktail,13000,aleatoire,grande,0.298290
selection,13000,aleatoire,grande,0.174123
insertion,13000,aleatoire,grande,0.092662
comptage,13000,aleatoire,grande,0.003271
fusion,13000,aleatoire,grande,0.002899
